Thing ID,Date,Category,Sub-category,Name,Author,License
12108,2011-10-02T01:29:43,art,sculptures,Spiral Lightbulb Sculpture ,benglish,Creative Commons - Attribution - Share Alike
12120,2011-10-03T05:59:49,household,containers,basic receptacles ,MakeALot,Creative Commons - Attribution
12134,2011-10-02T18:32:30,None,None,Parametric Round Box ,camperking,Creative Commons - Attribution
12137,2011-10-02T20:10:51,None,None,Orchid ,renejsanchez,GNU - GPL
12146,2011-10-03T10:01:14,models,creatures,Totoro ,joo,Creative Commons - Attribution - Share Alike
12147,2011-10-03T09:47:12,None,None,MK7 Stepstruder Filament Drive Block ,hoeken,GNU - GPL
12164,2011-10-03T20:04:54,None,None,RMS Titanic ,theodleif,GNU - GPL
12180,2011-10-04T09:30:13,None,None,Robot Toy #A ,tekeian,Creative Commons - Attribution - Share Alike
12182,2011-10-04T10:49:47,None,None,4-Color Self-Portrait ,br3ttb,Creative Commons - Attribution - Share Alike
12208,2011-10-05T09:44:59,art,interactive-art,Screwless Heart Gears ,emmett,Creative Commons - Attribution - Share Alike
12226,2011-10-10T02:16:51,None,None,Sd; MicroSd and USB holder ,eried,Creative Commons - Attribution - Non-Commercial
12227,2011-10-05T22:27:44,None,None,Roal The Bratty Dragon Prototype ,SplotchyInk,Creative Commons - Attribution
12232,2011-10-05T23:21:43,None,None,Mac Classic ,E_Roth_3,Attribution - Non-Commercial - Share Alike
12246,2011-10-06T08:33:03,models,animals,Stegosaurus - sliced ,RichRap,Public Domain
12256,2011-10-06T15:18:21,hobby,robotics,Servo controlled Silly-String Trigger ,sliptonic,Creative Commons - Attribution
12261,2011-10-06T17:34:33,None,None,Button Top ,patchorang,Creative Commons - Attribution - Share Alike
12274,2011-10-07T06:43:08,None,None,Bearing ,mread,Creative Commons - Attribution - Share Alike
12283,2011-10-08T09:48:20,None,None,Protein Models ,pmoews,Creative Commons - Attribution
12285,2011-10-07T12:24:27,None,None,Dualstrusion Business Card ,tbuser,Creative Commons - Attribution - Share Alike
12297,2011-10-07T20:48:54,None,None,MK7 Fan mount ,jballard,GNU - GPL
12301,2011-10-07T23:35:16,None,None,Recorder V2.2 (instrument) ,cymon,Creative Commons - Attribution - Share Alike
12305,2011-10-08T05:22:55,None,None,Micro Polyhedron Vertices - Revisited for PLA ,Daid,Attribution - Non-Commercial - Share Alike
12319,2011-10-08T13:03:47,None,None,Twisted Bottle Whistle  ,2ROBOTGUY,Creative Commons - Attribution
12342,2011-10-08T23:08:58,3d-printing,3d-printing-tests,Dissolvable Support Gearbox ,tbuser,Creative Commons - Attribution - Share Alike
12348,2011-10-10T17:56:38,None,None,Tapered Pocket Coin-Op ,br3ttb,Creative Commons - Attribution - Share Alike
12354,2011-10-09T16:24:10,None,None,3D Initials Logo - Make your own ,tarturo,Creative Commons - Attribution - Share Alike
12359,2011-10-09T15:55:44,None,None,Bachmann Klein Bottle ,Nbickford,Public Domain
12362,2011-10-09T16:06:04,None,None,Tire Lever ,gaarden,Creative Commons - Attribution - Share Alike
12367,2011-10-09T19:54:59,None,None,Clarinet Mouthpiece 1.0 ,Landru,Creative Commons - Attribution - Share Alike
12380,2011-10-10T03:24:27,None,None,Occupy Wall Street Pin ,nycdesigner,Creative Commons - Attribution - Non-Commercial
12391,2011-10-10T16:47:15,None,None,Embossing Stamp for Paper ,Rupert,Creative Commons - Attribution - Share Alike
12405,2011-10-10T22:51:10,None,None,Grayscale Dualstrusion Poster ,tbuser,Creative Commons - Attribution - Share Alike
12409,2011-10-11T01:11:31,None,None,Lego Kopf StarWars ,1york1,Creative Commons - Attribution - Share Alike
12419,2011-10-11T13:07:26,None,None,SuperEllipse in OpenScad ,WilliamAAdams,Creative Commons - Attribution
12432,2011-10-11T18:26:27,None,None,Klein Bottle from simple primitives ,MakeALot,Creative Commons - Attribution
12460,2011-10-12T14:11:34,None,None,Economic Spiral ,Zydac,Public Domain
12466,2011-10-12T18:55:20,toys-and-games,toy-and-game-accessories,MamBo ,LineKernel,Creative Commons - Attribution - Non-Commercial
12476,2011-10-13T11:16:17,None,None,Parametric Pirate Hook ,SuperAmi,Creative Commons - Attribution - Share Alike
12489,2011-10-13T13:41:34,None,None,Puzzle Rhombic Dodecahedron ,VeryWetPaint,Creative Commons - Attribution - Non-Commercial
12494,2011-10-14T15:30:38,None,None,Futurama Planet Express Ship ,UpUpandAway,Creative Commons - Attribution - Non-Commercial
12516,2011-10-14T04:52:56,None,None,Filament Clip ,Madox,Creative Commons - Attribution - Non-Commercial
12520,2011-10-14T21:20:24,None,None,Toy Robot ,bengarvey,Creative Commons - Attribution - Share Alike
12537,2011-10-14T22:39:04,None,None,Brain Slug Hair Clip ,CarryTheWhat,Creative Commons - Attribution
12556,2011-10-15T23:27:38,None,None,Thumb Roller Hook for Dial Caliper ,scorch,Creative Commons - Attribution
12560,2011-10-15T15:23:22,None,None,Cupcake case maker ,irts,Creative Commons - Attribution - Share Alike
12562,2011-10-15T15:49:14,None,None,the lemon juice extractor flying saucer ,pomalin,GNU - GPL
12564,2011-10-15T16:36:22,None,None,MIC CHK ,TeamTeamUSA,Public Domain
12569,2011-10-15T18:30:04,None,None,2.5 inch (laptop) HD enclosure ,dob71,Creative Commons - Attribution - Share Alike
12572,2011-10-16T01:56:03,models,vehicles,Imperial Star Destroyer ,Pointedstick,Public Domain
12580,2011-10-16T09:47:53,None,None,Nest iPhone Cover ,peetwolmarans,Creative Commons - Attribution - Share Alike
12585,2011-10-16T12:02:04,None,None,Little Green Ghost ,navalguijo,Creative Commons - Attribution - Share Alike
12597,2011-10-28T09:57:34,fashion,accessories,Octopus Bun Cover ,IWorkInPixels,Creative Commons - Attribution - Share Alike
12615,2011-10-17T04:22:48,None,None,Salt and Pepper bots ,pomalin,GNU - GPL
12616,2011-10-17T06:32:55,None,None,Hobby Clamps ,RotoScan,Creative Commons - Attribution - Share Alike
12625,2011-10-17T11:50:20,None,None,Bicycle Spoke Beads ,JonMonaghan,Public Domain
12629,2011-10-17T12:58:04,None,None,Fist Sculpture ,nathan,Creative Commons - Attribution
12631,2011-10-17T13:18:26,None,None,Kandelar ,Sybren,Attribution - Non-Commercial - Share Alike
12633,2011-10-17T14:54:58,None,None,Roy the Bunny ,JonMonaghan,Public Domain
12652,2011-10-18T20:13:09,None,None,Creatures of Thingiverse ,hlbrosnihan,Creative Commons - Attribution - Share Alike
12673,2011-10-20T10:42:21,toys-and-games,playsets,Sim City 2000 Tabletop Play Set ,Skimbal,Attribution - Non-Commercial - Share Alike
12675,2011-10-19T15:26:04,None,None,Buckyballs - Molecular Models ,pmoews,Creative Commons - Attribution
12679,2011-10-18T18:49:07,None,None,Dog Head ,sideburn,Creative Commons - Attribution - Non-Commercial
12687,2011-10-19T02:32:10,None,None,Toggles ,larsie,Creative Commons - Attribution - Share Alike
12695,2011-10-19T10:41:52,None,None,Handle Bar ,Tarjak,Creative Commons - Attribution - Share Alike
12728,2011-10-20T02:36:02,None,None,Wrong Way Nut ,VeryWetPaint,GNU - GPL
12746,2011-10-21T07:51:18,None,None,NO SUPPORT needed - Roal The Bratty Dragon Prototype ,RichRap,Creative Commons - Attribution
12768,2011-12-29T10:56:00,learning,,OpenSCAD style guide ,polymaker,Creative Commons - Attribution - Share Alike
12770,2011-10-21T17:18:24,None,None,SuperShapes in OpenScad ,WilliamAAdams,Public Domain
12772,2011-10-21T18:08:45,None,None,Lucky Charms Cereal Sifter ,tomlombardi,Creative Commons - Attribution - Share Alike
12780,2011-10-21T23:55:26,fashion,bracelets,Flexible Bracelet ,emmett,Creative Commons - Attribution - Share Alike
12784,2011-10-23T12:44:08,None,None,Project Shellter - Shell 01 ,TeamTeamUSA,Public Domain
12849,2011-10-23T22:16:50,None,None,8mm Film Reel ,Max,Creative Commons - Attribution - Share Alike
12856,2011-10-24T01:20:54,toys-and-games,,OpenSCAD Pirate Ship ,MakerBlock,Creative Commons - Attribution - Non-Commercial
12858,2011-10-24T00:37:13,None,None,Lightsaber for a 2-year-old ,bryanduxbury,Creative Commons - Attribution - Share Alike
12904,2011-10-25T11:24:56,None,None,Empire State Recorder (instrument) ,cymon,Creative Commons - Attribution - Share Alike
12908,2011-10-25T12:59:26,None,None,Things That Keep us Awake at Night Nightlight Covers ,Zydac,Public Domain
12919,2011-10-25T16:53:04,None,None,Sailboat Curtain Slide for T-Track ,beauturner,Creative Commons - Attribution - Share Alike
12920,2011-10-26T10:07:05,toys-and-games,,Snake/Chain Desk Toy ,cymon,Creative Commons - Attribution - Share Alike
12927,2011-10-26T02:33:02,None,None,Wing Rod End-Caps for MiracleMaker ,Mr_MegaTronic,Creative Commons - Attribution - Share Alike
12937,2011-10-26T09:39:27,None,None,lens hood for canon 50mm 1.8 ,gicks,Creative Commons - Attribution - Share Alike
12943,2011-10-26T12:18:05,None,None,Cord Spool For MacBook Power Supply ,jarvis,Creative Commons - Attribution - Share Alike
12946,2011-10-26T13:46:59,None,None,Empire State Recorder V2 (instrument) ,cymon,Creative Commons - Attribution - Share Alike
12962,2011-10-26T23:06:45,toys-and-games,dice,Dice Game ,jasay,Public Domain
12969,2011-10-27T07:30:56,art,sculptures,Trap Inc Tattoos 3D printed tattoos ,scooter46290,Creative Commons - Attribution - Share Alike
12973,2011-10-28T08:01:59,None,None,&#039;Holly&#039; magic star wand - pencil topper ,RichRap,Creative Commons - Attribution - Non-Commercial
12976,2011-10-27T12:25:56,None,None,TP Tubes ,ColinBB,unknown_license
12977,2011-10-29T20:58:23,models,props,Ash&#039;s Chain Saw ,Skimbal,Creative Commons - Attribution - Non-Commercial
12978,2011-10-27T15:27:19,None,None,Iron Man Arc Reactor ,NBitWonder,Creative Commons - Attribution - Share Alike
12989,2011-10-27T22:22:16,None,None,Page Keeper ,johnbiehler,Creative Commons - Attribution - Share Alike
12993,2011-10-28T01:37:41,None,None,Harry Potter Glasses ,Tunell,Creative Commons - Attribution - Share Alike
13009,2011-10-28T11:15:09,fashion,bracelets,Ouroboros Bracelet ,emmett,Creative Commons - Attribution - Share Alike
13015,2011-10-28T15:55:13,None,None,Keyboard Foot ,AphoticJezter,Creative Commons - Attribution - Share Alike
13032,2011-10-29T04:43:16,None,None,Air-tight Single Piece Pump - Shkolnikov Pump ,TrevorLaw,Creative Commons - Attribution - Share Alike
13034,2011-10-29T08:23:19,None,None,Bubble Hold for rock climbing ,paenian,Creative Commons - Attribution - Share Alike
13035,2011-10-29T17:12:06,None,None,Elephant Mother and Child ,daviddotshaw,Creative Commons - Attribution - Share Alike
13042,2011-10-31T09:35:20,None,None,Scout - A printable tribot frame ,sliptonic,Creative Commons - Attribution
13048,2011-10-30T22:51:22,None,None,bebeme mucho ,BebeMeMucho,Creative Commons - Attribution - Share Alike
13052,2011-10-29T22:28:14,None,None,Hockey Bic ,scorch,Public Domain
13067,2011-10-30T09:29:27,None,None,Dishwasher silverware rack repair ,ronthomp,Creative Commons - Attribution - Share Alike
13071,2011-10-30T11:39:35,None,None,car mirror ,1oldclown,Creative Commons - Attribution - Share Alike
13072,2011-10-30T11:53:08,None,None,LED mounts ,1oldclown,Creative Commons - Attribution - Share Alike
13073,2011-12-11T22:14:54,None,None,Wendy-House Connectors ,Bioluminescence,Creative Commons - Attribution - Non-Commercial
13078,2011-10-30T14:32:31,None,None,King&#039;s Toilet Bowl Pedal  ,2ROBOTGUY,Creative Commons - Attribution
13099,2011-10-31T00:18:22,hobby,electronics,Big 4 inch Seven Segment Display ,bryanandaimee,Creative Commons - Attribution - Share Alike
13101,2011-10-31T00:56:31,None,None,Floorplan Lightswitch ,Beehive,Creative Commons - Attribution - Share Alike
13127,2011-10-31T16:52:56,None,None,Labyrinth Toy ,hspahr,Creative Commons - Attribution - Share Alike
13137,2011-10-31T19:55:25,None,None,Monorail Stanchion / Post / Track Support ,voyager1713,Attribution - Non-Commercial - Share Alike
13140,2011-10-31T22:42:25,None,None,Car Audio 2DIN to 1DIN mounting kit ,tmartin,Creative Commons - Attribution
13143,2011-10-31T20:29:47,None,None,Ring Adapter For Lapel Button ,degroof,Creative Commons - Attribution
13152,2011-10-31T22:19:27,None,None,Hemostat ,CaptainKirk,Creative Commons - Attribution - Share Alike
13153,2011-10-31T22:20:51,None,None,New Museum Maracas ,beekeeper,Creative Commons - Attribution - Share Alike
13159,2011-10-31T22:57:34,None,None,Martian War Machine - War of the Worlds 1953 ,7777773,Creative Commons - Attribution - Share Alike
13171,2012-02-15T17:10:33,models,props,Tony Stark&#039;s Arc Reactor ,Skimbal,Attribution - Non-Commercial - Share Alike
13181,2011-11-01T16:41:47,None,None,GoPro Hero Camera Mount ,benglish,Creative Commons - Attribution - Share Alike
13188,2011-11-02T20:00:48,None,None,Dremel Turbine ,Landru,Creative Commons - Attribution
13242,2011-11-14T16:31:57,None,None,Pocket Laser Engraver (structure) ,watsdesign,GNU - GPL
13252,2011-11-02T23:48:00,household,bathroom,TP Holder ,mikebattaglia,Attribution - Non-Commercial - Share Alike
13258,2011-11-09T10:14:06,None,None,Mr Dinosaur ,MichelleP,Creative Commons - Attribution - Share Alike
13286,2011-11-04T10:16:43,None,None,custom extruder gears ,Culain,Creative Commons - Attribution - Non-Commercial
13298,2011-11-05T15:30:52,None,None,4Track ,Kepler,Creative Commons - Attribution - Share Alike
13301,2011-11-07T07:21:57,None,None,Bike Handlebar Plug (parametric) ,leemorton123,Creative Commons - Attribution - Share Alike
13324,2011-11-05T20:36:50,None,None,Zipper ,CaptainKirk,Creative Commons - Attribution - Share Alike
13360,2011-11-06T18:34:10,None,None,Shoe lace cover; IronMan design ,DrewPetitclerc,Creative Commons - Attribution - Non-Commercial
13368,2011-11-07T09:39:15,None,None,Motorized Functional Differential Gear System ,RonG,Creative Commons - Attribution - Share Alike
13389,2011-11-07T15:06:54,None,None,Z ring ,zoescope,Creative Commons - Attribution - Share Alike
13390,2011-11-11T13:00:07,None,None,MindWave Cat Ears ,joshd,BSD License
13391,2011-11-07T17:16:44,None,None,Miniature Queen Anne Chair ,PrettySmallThings,Attribution - Non-Commercial - Share Alike
13406,2011-11-08T11:49:25,models,vehicles,Wankel Rotary Engine Model ,jag,Public Domain
13415,2011-11-08T20:59:08,None,None,Spintop ,wizard23,Creative Commons - Attribution - Non-Commercial
13421,2011-11-08T18:34:46,None,None,Visor Clip; 2003 Dodge Neon ,Wrighma,Creative Commons - Attribution - Share Alike
13423,2011-11-08T18:07:11,hobby,electronics,Simple desk case for WIMM One ,bjepson,Creative Commons - Attribution - Share Alike
13446,2011-11-09T14:11:46,None,None,Tangram ,robotics383,Creative Commons - Attribution - Share Alike
13450,2011-11-09T16:34:18,fashion,earrings,Nautilus Earrings ,IWorkInPixels,Creative Commons - Attribution - Share Alike
13478,2011-11-15T13:54:55,None,None,Sexy BIC upgrade ,Fab22,Attribution - Non-Commercial - Share Alike
13489,2011-11-10T23:17:22,None,None,Finial by Chris K Palmer ,nycdesigner,Creative Commons - Attribution - Non-Commercial
13493,2011-11-11T03:30:43,None,None,Dolphin Automata ,Brinny,Public Domain
13496,2011-11-11T04:24:37,None,None,Stepper-driven tank platform for remotely operated vehicle ,tjhowse,GNU - GPL
13497,2011-11-11T04:06:26,None,None,removable; levelable and ball bearing mounted  ToM  X axis ,litwan,Creative Commons - Attribution - Share Alike
13499,2011-11-11T07:50:53,None,None,Sneaker Spurs! ,mikebattaglia,Creative Commons - Attribution - Non-Commercial
13505,2011-11-11T12:31:48,fashion,bracelets,Stretchy Bracelet ,emmett,Creative Commons - Attribution - Share Alike
13507,2011-11-11T14:43:30,tools,hand-tools,Car Safety Hammer ,Roboteernat,Creative Commons - Attribution - Non-Commercial
13508,2011-11-11T16:56:29,None,None,Clothespin ,PolygonPusher,Creative Commons - Attribution - Share Alike
13522,2011-11-12T05:43:20,None,None,Animatronic Tail. ,Pedrodeoro,Creative Commons - Attribution - Share Alike
13528,2011-11-12T15:25:48,None,None,Moustache Squared ,renejsanchez,GNU - GPL
13531,2011-11-12T14:58:26,None,None,Trilego ,canadaduane,Creative Commons - Attribution - Share Alike
13544,2011-11-13T07:02:58,None,None,Soldier Boy ,Madox,Creative Commons - Attribution - Non-Commercial
13553,2011-11-12T19:07:09,None,None,Tardis salt shaker ,konrad44,Creative Commons - Attribution - Non-Commercial
13578,2011-12-21T10:19:42,None,None,Human Brain ,RichRap,Creative Commons - Attribution - Non-Commercial
13581,2011-11-13T16:22:59,None,None,Toadinator ,custom3dstuff,Attribution - Non-Commercial - Share Alike
13592,2011-11-14T01:32:47,None,None,Squirrelalope ,ZRex,Creative Commons - Attribution - Share Alike
13612,2011-11-14T18:05:55,None,None,Mr. Alligator ,curiousmedia,Creative Commons - Attribution - Share Alike
13616,2011-12-27T21:04:43,hobby,,Model Rocket - B & C Engine Size ,NEATman,Creative Commons - Attribution - Share Alike
13657,2011-11-20T17:30:28,None,None,Lightsaber Chalk Holder ,DEF,Creative Commons - Attribution - Share Alike
13668,2011-11-19T11:49:11,None,None,Project Shellter - Turritella ,TeamTeamUSA,Creative Commons - Attribution
13678,2011-11-17T20:34:44,None,None,Apple Earbud Holder ,HPaul,Creative Commons - Attribution - Share Alike
13690,2011-11-17T23:33:38,None,None,X Wing Car ,random8tr,Creative Commons - Attribution - Non-Commercial
13718,2011-11-18T23:17:12,None,None,Apple USB Adapter Cable Spooler ,HPaul,Creative Commons - Attribution - Share Alike
13724,2011-11-19T01:04:39,None,None,Vholdr Contour Universal Camera Bracket ,DaveStruve,Attribution - Non-Commercial - Share Alike
13727,2011-11-19T03:38:28,3d-printing,3d-printer-extruders,mk7 ball bearing extruder drive ,jag,Public Domain
13740,2011-11-25T20:05:21,None,None,D&Acirc;&sup2; - Modular parametric car ,DEF,Creative Commons - Attribution - Share Alike
13749,2011-11-19T17:41:18,None,None,CarmaMovil ,CarlosRZambrana,Creative Commons - Attribution - Share Alike
13750,2011-11-19T17:59:24,None,None,Mat&Atilde;&shy;as Wolf ,Pedrodeoro,Creative Commons - Attribution - Share Alike
13751,2011-11-19T18:36:00,None,None,Magic Rub Eraser Holder ,brendandawes,Creative Commons - Attribution - Share Alike
13753,2011-11-19T19:29:12,fashion,accessories,High-heel protector ,chris,Creative Commons - Public Domain Dedication
13778,2011-11-20T15:14:34,None,None,HBP Quick Leveler Redux ,FAMULUS,BSD License
13786,2011-11-20T20:37:39,None,None,DMSE-Tetrapod (&quot;crystolecule&quot;) ,mechadense,Creative Commons - Attribution - Share Alike
13791,2011-11-21T00:53:08,art,math-art,BICky Ball ,scorch,Public Domain
13810,2011-11-21T12:54:18,None,None,Tentacle polyhedron vertex ,pogden,Creative Commons - Attribution - Share Alike
13816,2011-11-21T14:31:48,None,None,Printable Wool Winder ,MatthewLaBerge,Creative Commons - Attribution
13820,2011-11-24T17:17:51,learning,,MakerBot Dynamo ,MakerBot,Creative Commons - Attribution
13827,2011-11-24T17:17:45,hobby,rc-vehicles,Botmobile Dune Buggy ,MakerBot,Creative Commons - Attribution
13915,2011-11-24T15:02:30,None,None,Windup Walkers ,MakerBot,Creative Commons - Attribution
13927,2011-11-24T05:18:12,toys-and-games,mechanical-toys,CODE1 Bearing Rim Caps ,Chu,Creative Commons - Attribution - Share Alike
13928,2011-11-24T08:05:21,None,None,Formula 1 BatCar ,Seynls,Creative Commons - Attribution - Share Alike
13963,2011-11-26T06:35:52,None,None,3D Perspective Illusion Generator(ish) ,leemorton123,Creative Commons - Attribution - Share Alike
13968,2011-11-25T20:56:34,None,None,Skeleton Gingerbread Man - Cookie Cutter - Version 2 ,dgwilson,Creative Commons - Attribution - Share Alike
14008,2011-11-27T08:52:19,None,None,Parametrized Pool Nose Pinch ,Wauter,Creative Commons - Attribution - Share Alike
14011,2011-11-27T09:42:27,None,None,Moon Shot ,WilliamAAdams,Public Domain
14012,2011-11-27T10:48:11,None,None,Helping Hands ,dougc314,Creative Commons - Attribution - Share Alike
14044,2011-11-27T20:57:43,art,2d-art,Gandhi Lithophane ,WilliamAAdams,Creative Commons - Attribution
14046,2011-11-27T22:14:04,None,None,Shellfish Shellter ,MagicDan,unknown_license
14070,2011-11-28T14:13:42,models,props,Earth Shot ,WilliamAAdams,Creative Commons - Attribution
14072,2011-11-28T18:31:34,None,None,Earth Shot - Split ,owenscenic,Creative Commons - Attribution
14127,2011-11-30T05:11:43,None,None,FrostByte ,trihedral,Creative Commons - Attribution - Share Alike
14130,2011-11-30T13:13:05,None,None,PrintrBot Clone ,PacManFan,Creative Commons - Attribution - Share Alike
14173,2011-12-01T15:00:15,None,None,Tarbosaurus skull; sliced for printing ,gpvillamil,Creative Commons - Attribution - Share Alike
14176,2011-12-01T15:30:33,None,None,R. Maker Ornament V1 ,Mr_MegaTronic,Creative Commons - Attribution - Share Alike
14187,2011-12-01T20:47:59,None,None,Device to repair a plastic hanger ,edmo,Attribution - Non-Commercial - Share Alike
14188,2011-12-02T01:16:25,None,None,X-Acto Knife/Hex Wrench Holder ,Indigojin,Attribution - Non-Commercial - Share Alike
14189,2011-12-01T22:59:23,None,None,Necklace Holder ,foxdewayne,Public Domain
14190,2011-12-01T23:54:10,None,None,RC Airplane Bomb Drop ,foxdewayne,Public Domain
14197,2011-12-02T09:30:17,None,None,Skymega board ,obijuan,Creative Commons - Attribution - Share Alike
